id,identifier,session_count,language,timezone,game_version,device_os,device_type,device_model,ad_id,tags,last_active,playtime,amount_spent,created_at,invalid_identifier,badge_count,lat,lon,rooted,ip,country,web_auth,web_p256
ba7276cf-96b1-4f5a-a990-419fd8869321,APA91bEtOzSFZgULc-Vseb3zqOoZEN1VaPICaLRm-jswbZ0W9uHCxWVvUCGDWhP-KnZIrceAEuiXUK4FcJiMkjQCcZPYtMtpXIU7rjSXoWMy95YKJolxXO8xYmgOXAuJWRLZRq8vDf4_,61,es,-18000,520,6.0,1,MYA-L03,8c3a5b2c-7442-4d12-b389-e9a3789bc910,{},2018-11-19 18:32:18,21107,0.00,2018-02-20 18:44:42.426435,f,0,,,f,2800:4b0:8001:7e02:1:2:1587:f813,PE,,
bd75b35a-5a1b-4ef3-9baf-ac41f1392a85,APA91bE3qJgEYszum68zE133HZRjvAyK1q0pKs1kZMluf8fCE5GiOPqgK8aicPk0u4x9ml-3Hj_bIW8ojuqGj8dPLliYifptCVNNO76UHZ6tvv_O1THQYol8x5h78X69DbT-vna3JUjf,4,es,-14400,520,7.0,1,SM-G920I,4c35e9a3-5bfc-402d-b3b2-ce1c1f124c02,{},2018-09-02 12:56:18,2142,0.00,2018-03-04 00:23:56.418862,t,0,,,f,8.23.65.114,US,,
bca5bb7d-80df-40bd-9aa4-4d91a4c109a2,APA91bGf3Sf9k9L3JHwTFPEiSmu_uAe5wQXQeus5tT4-Zm7AcGWk0U8t2zIUUKul7Sb0yK_ITh2snv7Ipe6hUL1yKQ9p3fiSQOoG1Ztmi8MeY77QEUQ-WZHmBNNK99sHH4DJQy5yPU6z,15,es,-18000,523,8.0.0,1,SM-G950F,3b3c0524-50e4-45f4-9a5d-ed4cbda09020,{},2018-11-20 20:44:08,442,0.00,2018-02-28 21:57:41.997607,f,0,,,f,132.251.3.213,PE,,
b8f83754-ccbf-4634-ba0d-f46cb2f9ac44,b610fb2fc703a853a1b0e1e045b8f9a0b439c88466d1717a5d11053b64627ce4,78,es,-18000,0.5.23,11.4.1,0,"iPhone7,2",81B80035-EBCC-4D1F-8466-8F452AF1036C,{},2018-11-17 20:35:47,3551,0.00,2018-08-06 17:57:01.941296,f,0,,,f,181.188.201.152,EC,,
bcc496e6-a839-415d-91f2-158832a8ca59,fdd92469262045a5601010f391bd05b14158a486ee4ba770036188d37c704ffb,24,es,-18000,0.5.23,12.1,0,"iPhone8,1",18C07B88-6D5B-4082-8DA1-498058479E05,{},2018-11-12 15:12:04,1155,0.00,2018-10-10 22:11:49.4048,f,0,,,f,200.7.247.7,EC,,
c03050d1-33b9-4ee3-9e6e-b95aa1e1d3ed,68c8bca892e56118d76da8acca8fb17e5da0d08c22f7b89ecf39d06355423957,62,es,-18000,0.4.1,11.4.1,0,"iPhone7,2",D4853D7B-9A96-4C6F-921D-5594BB6BF32F,{},2018-11-01 16:07:47,2957,0.00,2018-02-22 14:55:12.037547,f,0,,,f,2800:200:e6c0:e32:bc8b:42f2:a844:8164,PE,,
c0b9b573-4fd1-4d9e-a525-6d6fc8691f21,08e716bf2f4b0b02f0b99474129598b820a1e03aedf7b9763aea736d4fceb666,15,es,-18000,0.4.1,11.2.6,0,"iPhone9,3",C9ACA4E0-F88D-4F1B-B8EB-A9977B8856BA,{},2018-04-03 19:52:58.967705,1844,0.00,2018-02-19 22:01:00.885253,f,0,,,f,190.113.208.247,PE,,
cb53da0b-9602-4fca-8517-7e380b413062,0e841b2e7714dac28a51025978383d05fdfe00cd818616b213cbf78ef244d4c8,11,es,-18000,0.5.19,11.4.1,0,"iPhone7,2",AC786979-7ED8-4E92-A0D5-A887B63442E8,{},2018-08-30 23:58:53,679,0.00,2018-06-19 16:25:51.312347,f,0,,,f,190.152.83.68,EC,,
c1fb9294-bec0-4e89-a234-f53245b7654a,,1,en,-14400,520,4.4.2,1,SM-G900R7,280f13da-03b5-4b18-802a-259ee07e51e2,{},2018-06-19 19:22:15.561965,0,0.00,2018-02-19 20:26:17.822284,t,0,,,t,66.249.88.156,US,,
c3635fc0-c12b-44d4-819f-bda248d54e9e,,24,es,-18000,520,6.0.1,1,SM-A520F,a2d9a536-ffc7-4e8f-a7f8-ab4edfc74f15,{},2018-06-23 23:17:50.240165,5805,0.00,2018-02-20 18:13:26.523074,t,0,,,f,132.191.3.239,PE,,
